customerID,SeniorCitizen,Partner,Dependents,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,Male,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,current_tenure
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,1
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,2
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,3
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,4
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,5
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,6
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,7
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,8
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,9
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,10
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,11
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,12
0011-IGKFF,1,1,0,1,2,0,1,1,0,1,1,1,2,98.0,1,1,0,0,1,0,0,13
0013-EXCHZ,1,1,0,1,2,0,0,0,1,1,0,1,3,83.9,0,1,0,0,1,0,0,1
0013-EXCHZ,1,1,0,1,2,0,0,0,1,1,0,1,3,83.9,0,1,0,0,1,0,0,2
0013-EXCHZ,1,1,0,1,2,0,0,0,1,1,0,1,3,83.9,0,1,0,0,1,0,0,3
0022-TCJCI,1,0,0,1,1,1,0,1,0,0,1,0,1,62.7,1,1,0,0,0,1,0,1
0022-TCJCI,1,0,0,1,1,1,0,1,0,0,1,0,1,62.7,1,1,0,0,0,1,0,2
0022-TCJCI,1,0,0,1,1,1,0,1,0,0,1,0,1,62.7,1,1,0,0,0,1,0,3
0022-TCJCI,1,0,0,1,1,1,0,1,0,0,1,0,1,62.7,1,1,0,0,0,1,0,4
0022-TCJCI,1,0,0,1,1,1,0,1,0,0,1,0,1,62.7,1,1,0,0,0,1,0,5
