customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,current_tenure
0004-TLHLJ,1,-0.6463953930988441,0,0,1,0,1,0,0,2,0,0,0,0,1,2,-0.5015237331020319,1
0004-TLHLJ,1,-0.6463953930988441,0,0,1,0,1,0,0,2,0,0,0,0,1,2,-0.5015237331020319,2
0004-TLHLJ,1,-0.6463953930988441,0,0,1,0,1,0,0,2,0,0,0,0,1,2,-0.5015237331020319,3
0004-TLHLJ,1,-0.6463953930988441,0,0,1,0,1,0,0,2,0,0,0,0,1,2,-0.5015237331020319,4
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,1
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,2
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,3
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,4
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,5
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,6
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,7
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,8
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,9
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,10
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,11
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,12
0011-IGKFF,1,1.5470407287495689,1,0,1,0,1,0,2,2,0,2,2,0,1,2,0.5807927816003966,13
0013-EXCHZ,0,1.5470407287495689,1,0,1,0,1,0,0,0,2,2,0,0,1,3,-0.052429743598949426,1
0013-EXCHZ,0,1.5470407287495689,1,0,1,0,1,0,0,0,2,2,0,0,1,3,-0.052429743598949426,2
0013-EXCHZ,0,1.5470407287495689,1,0,1,0,1,0,0,0,2,2,0,0,1,3,-0.052429743598949426,3
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,1
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,2
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,3
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,4
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,5
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,6
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,7
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,8
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,9
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,10
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,11
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,12
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,13
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,14
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,15
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,16
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,17
0022-TCJCI,1,1.5470407287495689,0,0,1,0,0,2,0,2,0,0,2,1,0,1,-1.0045090013454845,18
